"a";"b";"c";"d";"answer";"question";"subject_id"
"Prints 2.5";"Rraises an error as STATIC is used as a variable which is a keyword";"Raises an exception";"None of these";"A";"The following fraction of code

double STATIC = 2.5 ;
System.out.println( STATIC );

";1
"Does not compile as Integer and String are API class names.";"Throws exception.";"34";"34 S";"D";"What would be the output of the following fraction of code ?

int Integer = 34 ;
char String = 'S' ;
System.out.print( Integer ) ;
System.out.print( String ) ;


";1
"20";"21";"22";"Compilation Error";"C";"What is the output of the following program?

public class Test{
	static int x  = 10 ;
       	public static void main(String[] a){
		 Test test = new Test( ) ; 
		 Test test1 = new Test( ) ;
		 test.x  +=  1 ;
		 System.out.println(  test.x + test1.x ) ;    
	}
}


";1
"Prints true";"Prints false";"Will not compile as boolean is not initialized";"Will not compile as boolean can never be static";"B";"The following program:

public class Test{ 
        static boolean isOK;
        public static void main(String args[]){
                System.out.print(isOK);
        } 
}

";1
"2";"0";"3";"2.5";"B";"What will the output of the following program?

public class Test{
      public static void main(String args[]){
            float f = (1 / 4) * 10;
            int i = Math.round(f);
            System.out.println(i);
      }
}

";1
"0 false 0";"0 true 0 ";"0 0 0";"Compile error - static variable must be initialized before use.";"A";"What is the output for the below code ?

class A{
      int k;
      boolean istrue;
      static int p;
      public void printValue(){
            System.out.print(k);
            System.out.print(istrue);
            System.out.print(p);
      }
}

public class Test{
      public static void main(String argv[]){
            A a = new A();
            a.printValue();
      }
}

";1
"32 and 64";"64 and 64";"32 and 32";"64 and 32";"A";"Size of float and double in Java is
";1
"Two type are compatible and size of destination type is shorter than source type.";"Two type are compatible and size of destination type is equal of source type.";"Two type are compatible and size of destination type is larger than source type.";"All of the above";"C";"Automatic type conversion in Java takes place when
";1
"short to int";"byte to int";"int to long";"long to int";"C";"Which of the following automatic type conversion will be possible?
";1
"258 325 325";"258 326 326";"2 325 69";"Error";"C";"What is the output of the following program?

class A{
        public static void main(String args[]){
	        byte b;
   	        int i = 258;
	        double d = 325.59;

	        b = (byte) i;
	        System.out.print(b);

	        i = (int) d;
	        System.out.print(i);

                b = (byte) d;
                System.out.print(b);
        }
}

";1
"50";"10";"Compilation Error";"None of these";"C";"What will be output of the following program code?

public class Test{
	public static void main(String[] a){
		short x = 10;
		x = x*5;
		System.out.print(x);
	}  
}

";1
"34 34";"65 34";"65 65";"34 65";"B";"Determine output:

public class Test{
	int i = 34;
	public static void main(String args[]){
		Test t1 = new Test();
		Test t2 = new Test();
		t1.i = 65;
		System.out.print(t1.i);
		System.out.print(t2.i);
	}
}

";1
"A Java keyword";"A Boolean literal";"Same as value 1";"Same as value 0";"B";"In Java, the word true is ................
";1
"This method is only accessible from inside the class itself and from inside all subclasses.";"In a class, you cannot declare methods with a lower visibility than the visibility of the class in which it is defined.";"From within protected methods you do not have access to public methods.";"This method is accessible from within the class itself and from within all classes defined in the same package as the class itself.";"D";"Suppose a class has public visibility. In this class we define a protected method. Which of the following statements is correct?
";1
"Compile error at line 1 (static x must be only accessed inside static methods)";"Compile error at line 2 (constructors can't be static)";"Compile error at line 3 (static methods can't invoke this)";"Compile error at line 4 (invalid argument type for method main )";"C";"What is the result of compiling and running the following code?

public class Tester{
	static int x = 4;
	public Tester(){
		System.out.print(this.x); // line 1
		Tester();
	}
	public static void Tester(){ // line 2
		System.out.print(this.x); // line 3
	}
	public static void main(String... args){ // line 4
		new Tester();
	}
}

";1
"Compile error at line 1 (static x must be only accessed inside static methods)";"Compile error at line 3 (static methods can't make reference to non-static variables)";"Compile error at line 4 (invalid argument type for method main)";"49";"B";"What is the result of compiling and running the following code?

public class Tester{
	static int x = 4;
	int y = 9;  	
	public Tester(){
		System.out.print(this.x); // line 1
		printVariables();
	}
	public static void printVariables(){
		System.out.print(x); // line 2
		System.out.print(y); // line 3
	}
	public static void main(String... args) { // line 4
		new Tester();
	}
}

";1
"Declare the method with the keyword public.";"Declare the method with the keyword private.";"Declare the method with the keyword protected.";"Do not declare the method with any accessibility modifiers.";"D";"A method within a class is only accessible by classes that are defined within the same package as the class of the method. Which one of the following is used to enforce such restriction?
";1
"The program has a compilation error because it does not have a main method.";"The program will compile, but we cannot create an object of Circle with a specified radius. The object will always have radius 0.";"The program has a compilation error because we cannot assign radius to radius.";"The program does not compile because Circle does not have a default constructor.";"B";"Choose the correct statement

public class Circle{
      private double radius;  
      public Circle(double radius){
            radius = radius;
      }
}

";1
"Only (I)";"(I) and (II)";"(II) and (III)";"(I), (II) and (III)";"D";"Choose the correct statement. Restriction on static methods are: I.   They can only call other static methods.
II.   They must only access static data.
III. They cannot refer this or super in any way.
";1
"Compile with error";"Runtime Exception";"5";"6";"A";"What will be the output?

public class Test{
	static{
		int a = 5;
	}

	public static void main(String args[]){
		new Test().call();
	}

	void call(){
		this.a++;
		System.out.print(this.a);
	}
}

";1
"static";"final";"abstract";"native";"A";"Name the keyword that makes a variable belong to a class, rather than being defined for each instance of the class.
";1
"Compile with error";"5";"0";"Runtime Exception";"A";"What will be the output for the below code?

public class Test{
      static{
            int a = 5; 
      }

      public static void main(String[] args){
            System.out.println(a);
      }
}

";1
"At Compile-time";"At run-time";"Depends on the code";"None of these";"B";"The object is created with new keyword
";1
"1 and 2";"2 and 4";"3 and 4";"1 and 3";"C";"Consider the following two classes declared and defined in two different packages, what can be added in class B to form what considered a correct access to class A from main() method of class B?

package subPackage;
public class A { }


package anotherPackage;
// line 1
	public class B{
		public static void main(String[] args){
		// line 2
	}
}

1. At line1 add noting; At line2 add: new A();
2. At line 1 add: import package.*; at line 2 add : new subPackage.A();
3. At line 1 add: import subPackage.*; at line 2 add : new A();
4. At line 1 add: import subPackage.A; at line 2 add : new A();
";1
"An object of B contains data fields i, j, k, m.";"An object of B contains data fields j, k, m.";"An object of B contains data fields j, m.";"An object of B contains data fields k, m.";"B";"Which statements are most accurate regarding the following classes?

class A{
        private int i;
        protected int j;
}

class B extends A{
        private int k;
        protected int m;
}

";1
"Classes";"Interfaces";"Editing tools";"Classes and Interfaces";"D";"A package is a collection of
";1
"The will compile successfully and display 9 as output.";"The program will lead to compilation error.";"The program will lead to runtime error.";"The program will compile successfully and display 10 as output.";"B";"What will be the output after the following program is compiled and executed?

public class Test{
      public static void main(String args[]){
            int x = 10;
	    x = myMethod(x--);
	    System.out.print(x);
      }

      static int myMethod(final int x){
            return x--;
      }
}

";1
"Only the Test class.";"Any class.";"Any class in com.mypackage package.";"Any class that extends Test.";"A";"What can directly access and change the value of the variable qusNo?

package com.mypackage;

public class Test{
    private int qusNo = 100;
}

";1
"objects";"object references";"primitive data type";"None of the above";"A";"In Java arrays are
";1
"char[] c = new char();";"char[] c = new char[5];";"char[] c = new char(4);";"char[] c = new char[];";"B";"Which one of the following is a valid statement?
";1
"0";"Compilation error, arrays cannot be initialized to zero size.";"Compilation error, it is a.length() not a.length";"None of the above";"A";"What is the result of compiling and running the following code?

public class Test{
        public static void main(String[] args){
                int[] a = new int[0];
                System.out.print(a.length);
        }
}

";1
"0";"1";"2";"3";"B";"What is the output of the following code?

public class Test{
        public static void main(String args[]){
                double[] myList = {1, 5, 5, 5, 5, 1};
                double max = myList[0];
                int indexOfMax = 0;
                for(int i = 1; i < myList.length; i++){
                        if(myList[i] > max){
                                max = myList[i];
                                indexOfMax = i;
                        }
                }
                System.out.println(indexOfMax);
        }
}

";1
"The code has compile errors because the variable arr cannot be changed once it is assigned.";"The code has runtime errors because the variable arr cannot be changed once it is assigned.";"The code can compile and run fine. The second line assigns a new array to arr.";"The code has compile errors because we cannot assign a different size array to arr.";"C";"Analyze the following code and choose the correct answer.

int[] arr = new int[5];
arr = new int[6];

";1
"A copy of the array.";"A copy of the first element.";"The reference of the array.";"The length of the array.";"C";"When you pass an array to a method, the method receives ________ .
";1
"int [] myList = {}";";int [] myList = (5, 8, 2)";";int myList [] [] = {4,9,7,0}";";int myList [] = {4, 3, 7}";";D""";"Which will legally declare, construct, and initialize an array?
";1
"0";"1";"2";"3";"B";"What is the value of a[1] after the following code is executed?

int[] a = {0, 2, 4, 1, 3};
for(int i = 0; i < a.length; i++)
a[i] = a[(a[i] + 3) % a.length];

";1
"java.lang.String";"java.lang.Object";"java.lang.util";"None of these";"B";"toString() method is defined in
";1
"true";"false";"an int value";"1";"C";"The String method compareTo() returns
";1
"java.awt";"java.lang";"java.applet";"java.string";"B";"The class string belongs to ................. package.
";1
"2";"7";"13";"11";"C";"How many Constructor String class have?
";1
"100";"Displays error as ++a is not enclosed in double quotes in println statement";"Compiler displays error as ++a is not a valid identifier";"None of these";"C";"
int ++a = 100 ; 
System.out.println( ++a ) ;

What will be the output of the above fraction of code ?
";1
"\t";"\r";"\a";"\\";"C";"Select from among the following character escape code which is not available in Java.
";1
"22";"50";"10";"Compilation fails with an error at line 4";"B";"What will be the output after compiling and running following code?

1. public class Test{
2.       public static void main(String... args){
3.             int x =5;
4.             x *= 3 + 7;
5.             System.out.println(x);
6.       }
7. }

";1
"6 6 6 16";"6 7 6 16";"5 6 7 16";"5 6 6 16";"C";"Determine output:

public class Test{
      static int i = 5;
      public static void main(String... args){
            System.out.println(i++);
            System.out.println(i);
            System.out.println(++i);
            System.out.println(++i+i++);
      }
}

";1
"1 < x < 100 || x < 0";"((x < 100) && (x > 1)) || (x < 0)";"((x < 100) && (x > 1)) && (x < 0)";"(1 > x > 100) || (x < 0)";"B";"Which of the following is the correct expression that evaluates to true if the number x is between 1 and 100 or the number is negative?
";1
"Won't compile because of line (1), constructor can't be private";"10 50";"50";"Won't compile because of line (5), constructor can't be static";"D";"What is the expected output?

public class Profile {
         private Profile(int w) { // line 1
                  System.out.print(w);
         }
         public static Profile() { // line 5
                  System.out.print (10);
         }
         public static void main(String args[]) {
                  Profile obj = new Profile(50);
         }
}

";1
"At line 1, constructor Tester must be marked public like its class";"At line 2, constructor call ";"At line 3, compilation error, ambiguity problem, compiler can't determine whether a constructor";"At line 4";"B";"The following code contains one compilation error, find it?

public class Test {
	Test() {    }  // line 1
	static void Test() {  this(); } // line 2  
	public static void main(String[] args) { // line 3
		Test(); // line 4
	}
}

";1
"void";"int";"double";"None of the above";"A";"What will be the return type of a method that not returns any value?
";1
"(int)Math.random()";"(int)Math.random() + 1";"(int)(Math.random() + 0.5)";"(int)(Math.random() + 0.2)";"C";"Which of the following options is the best for generating random integer 0 or 1?
";1
"3.0";"3";"4";"4.0";"A";"What is Math.floor(3.6)?
";1
"Won't compile because of line (1); constructor can't be private";"Won't compile because of line (5); constructor can't be final";"50";"10 50";"B";"What is the expected output?

public class Profile {
	private Profile(int w) { // line 1
		System.out.print(w);
	}
	public final Profile() { // line 5
		System.out.print(10);
	}
	public static void main(String args[]) {
		Profile obj = new Profile(50);
	}
}

";1
"public";"private";"static";"protected";"C";"Which of the modifier can't be used for constructors?
";1
"reference variables";"objects";"instance variables";"None of these";"C";"The variables declared in a class for the use of all methods of the class are called
";1
"1.0";"10.0";"0.0";"0.5";"C";"Determine output of the following program.

public class Test{
           public static void main(String args[]){
                  System.out.println( Math.floor( Math.random( ) ) ) ;
           }
}

";1
"0";"2.0";"Compile time error";"None of the above";"C";"What is the output of the above program ?

class Num  {
      Num(double x ){
              System.out.println( x ) ;
      }   
}
public class  Test  extends  Num   {
       public static void main(String[] args){
                  Num num = new Num( 2 ) ;
       }     
}

";1
"void";"A class object in which it is defined.";"There is no return type.";"None of the above";"B";"The implicit return type of a constructor is
";1
"A a = new B()";";A a = new B(5)";";A a = new A(String s)";";All of the above""";"A";"
class A{
      A(String s){}

      A(){}
}

1. class B extends A{
2.       B(){}
3.       B(String s){
4.             super(s);
5.       }
6.       void test(){
7.             // insert code here
8.       }
9. }

Which of the below code can be insert at line 7 to make clean compilation ?
";1
"void examveda() {} throws IOException";"void examveda() throws IOException{}";"void examveda() throw IOException{}";"void examveda(void) throws IOException{}";"B";"Which of these is a legal definition of a method named examveda assuming it throws IOException, and returns void. Also assume that the method does not take any arguments. Select the one correct answer.
";1
"An object, variable or method goes out of scope.";"An object or variable goes out of scope.";"A variable goes out of scope.";"Before garbage collection.";"D";"The finalize() method is called just prior to
";1
"It can be accessed easily by the class loader.";"It can be accessed by every method or variable without any hindrance.";"It can be executed without creating any instance of the class.";"None of the above";"C";"The main method should be static for the reason
";1
"1 and 2";"2 and 4";"3 and 4";"1 and 3";"B";"Which of the following statements regarding static methods are correct?
1. Static methods are difficult to maintain, because you can not change their implementation.
2. Static methods can be called using an object reference to an object of the class in which this method is defined.
3. Static methods are always public, because they are defined at class-level.
4. Static methods do not have direct access to non-static methods which are defined inside the same class.
";1
"public Test(void)";"Test( )";"Test(void)";"public Test( )";"D";"
public class Test { }

What is the prototype of the default constructor?
";1
"1";"2";"3";"Compilation Error";"B";"Determine output:

public class Test{
      public static void main(String args[]){
            MyClass obj = new MyClass();
            obj.val = 1;
            obj.call(obj);
            System.out.println(obj.val);
      }
}

class MyClass{
      public int val;
      public void call(MyClass ref){
            ref.val++;
      }
}

";1
"Compile fail due to error on line no 2";"Compile fail due to error on line no 9";"Compile fail due to error on line no 8";"15";"B";"What is the output for the below code ?

1. public class A{
2.       int add(int i, int j){
3.             return i+j;
4.       }
5. }
6. public class B extends A{
7.       public static void main(String argv[]){
8.             short s = 9;
9.             System.out.println(add(s,6));
10.      }
11.}

";1
"MyClass(){}";"MyClass(void) {}";"public MyClass(){}";"1 and 3";"D";"
public class MyClass{ }

For the above class(MyClass) what is the correct way of declaring constructor?
";1
"Heap";"Storage Area";"Stack";"Array";"C";"In which area of memory, the system stores parameters and local variables whenever a method is invoked?
";1
"Compilation Fails";"Prints 0";"Prints 10";"Prints 7";"A";"What will be the result of compiling and running the given code?

class A{
      int b=10;
      private A(){
            this.b=7;
      }
      int f(){
            return b;
      }
}
class B extends A{
      int b;
}
public class Test{
      public static void main(String[] args){
            A a = new B();
            System.out.println(a.f());
      }
}

";1
"2";"3";"4";"6";"D";"Determine output:

public class Test{
        public static void main(String args[]){
                int i; 
                for(i = 1; i < 6; i++){ 
                        if(i > 3) continue ; 
                }
                System.out.println(i); 
        }
}

";1
"switch, if";"if, switch";"if, break";"continue, if";"A";"In java, ............ can only test for equality, where as .......... can evaluate any type of the Boolean expression.
";1
"10";"11";"9";"20";"A";"Determine output:

public class Test{
        public static void main(String args[]){
                int i, j;
                for(i=1, j=0;i<10;i++) j += i;
                System.out.println(i);
        }
}

";1
"1";"2";"3";"4";"B";"What will be the value of y after execution of switch statement?

public class Test{
        public static void main(String[] args){
                int x = 3, y = 4;
                switch(x + 3){
                        case 6: y = 0;
                        case 7: y = 1;
                        default: y += 1;
                }
        }
}

";1
"abcd";"aa";"a";"ab";"C";"What is the printout of the following switch statement?

char ch = 'a';  
switch (ch){
      case 'a':
      case 'A': System.out.print(ch); break;
      case 'b':
      case 'B': System.out.print(ch); break;
      case 'c':
      case 'C': System.out.print(ch); break;
      case 'd':
      case 'D': System.out.print(ch);
}

";1
"The program has a compile error because the adjustment is missing in the for loop.";"The program has a compile error because the control variable in the for loop cannot be of the double type.";"The program runs in an infinite loop because d<10 would always be true.";"The program compiles and runs fine.";"D";"Choose the correct statement in context of the following program code.

public class Test{
      public static void main(String[] args){
            double sum = 0;
            for(double d = 0; d < 10;){
                  d += 0.1;
                  sum += sum + d;
            }
      }
}

";1
"for(; ;)";"for(i=0 ; i<1; i--)";"for(i=0; ; i++)";"All of the above";"D";"Which of the following for loops will be an infinite loop?
";1
"1 2 3 1";"1 2 3 2";"Repeatedly print 1 2 3 and cause infinite loop.";"Compilation fails because of line 2";"C";"What will be the result of the following code?

public class Test{
      static public void main(String args[]){ //line 2
            int i, j;
            for(i=0; i<3; i++){
                  for(j=1; j<4; j++){
                        i%=j;
			System.out.println(j);
		  }
	    }
      }
}

";1
"0";"1";"2";"3";"B";"What is the value of a[1] after the following code is executed?

int[] a = {0, 2, 4, 1, 3};
for(int i = 0; i < a.length; i++)
      a[i] = a[(a[i] + 3) % a.length];

";1
"0";"1";"2";"1 2";"D";"What all gets printed when the following program is compiled and run.

public class Test{
      public static void main(String args[]){ 
            int i, j=1;
            i = (j>1)?2:1;
            switch(i){
                  case 0: System.out.println(0); break;
                  case 1: System.out.println(1);
                  case 2: System.out.println(2); break;
                  case 3: System.out.println(3); break;
            }
      }
}

";1
"1";"2";"-1";"0";"D";"What will be the output?

public class Test{
      public static void main(String args[]){ 
            int i = 1;
            do{
                  i--;
            }while(i > 2);
            System.out.println(i);
      }
}

";1
"int y = x;";"int y = 10;";"int y = 11;";"int y = 12;";"C";"
1. public class Test{
2.       public static void main(String [] args){
3.             int x = 0;
4.             // insert code here
5.             do{ } while(x++ < y);
6.             System.out.println(x);
7.       }
8. }

Which option, inserted at line 4, produces the output 12?
";1
"10";"11";"12";"13";"D";"What will be the result?

1.  int i = 10;
2.  while(i++ <= 10){
3.        i++;
4.  }
5.  System.out.print(i);

";1
"9.0 9.0";"9 9";"Compilation Error";"None of these";"C";"What is output of the program?

class Test{
        public void display(int x, double y){
                System.out.println(x+y);
        } 
        public double display(int p, double q){
                return (p+q);
        }
        public static void main(String args[]){
                Test test = new Test();
                test.display(4, 5.0);
                System.out.println(test.display(4, 5.0));
        }
}

";1
"Will not compile.";"Will compile and run printing out 20";"Runtime error";"Will compile and run printing out 25";"B";"What will be the output of the following program code?

class Rectangle{
      public int area(int length, int width){
            return  length*width;
      }
}
class Square extends Rectangle{
      public int area(long length, long width){
            return  (int) Math.pow(length, 2);
      }
}
public class Test{
      public static void main(String args[]){
            Square r = new Square();
            System.out.println(r.area(5 , 4));
      }
}

";1
"10";"20";"30";"40";"D";"What will be printed after executing following program code?

class Base{
	int value = 0;
        Base(){
        	addValue();
        }
        void addValue(){
        	value += 10;
        }
        int getValue(){
        	return value;
        }
}
class Derived extends Base{
	Derived(){
		addValue();
	}
	void addValue(){
		value +=  20;
	}
}
public class Test{
	public static void main(String[] args){
		Base b = new Derived();
		System.out.println(b.getValue());
	}
}

";1
"super";"static";"final";"private";"C";"____________ method cannot be overridden.
";1
"The keywords public and abstract cannot be used together.";"The method numberOfStudent() in class School must have a body.";"You must add a return statement in method numberOfStudent().";"Class School must be defined abstract.";"D";"Given the following piece of code:

public class School{
        public abstract double numberOfStudent();
}

which of the following statements is true?
";1
"class A { abstract void unfinished() { } }";"class A { abstract void unfinished(); }";"abstract class A { abstract void unfinished(); }";"public class abstract A { abstract void unfinished(); }";"C";"Which of the following class definitions defines a legal abstract class?
";1
"public abstract method();";"public abstract void method();";"public void abstract Method();";"public void method() {}";"B";"Which of the following declares an abstract method in an abstract Java class?
";1
"An abstract class can be extended.";"A subclass of a non-abstract superclass can be abstract.";"A subclass can override a concrete method in a superclass to declare it abstract.";"All of the above";"D";"Which of the following statements regarding abstract classes are true?
";1
"1 and 2";"2 and 4";"3 and 4";"1 and 3";"B";"Suppose A is an abstract class, B is a concrete subclass of A, and both A and B have a default constructor. Which of the following is correct?
1. A a = new A();
2. A a = new B();
3. B b = new A();
4. B b = new B();
";1
"interface A { void print() { } }";"abstract interface A { print(); }";"abstract interface A { abstract void print(); { }}";"interface A { void print(); }";"D";"Which of the following is a correct interface?
";1
"This code will not compile, because method doYourJob() in interface Guard must be defined abstract.";"This code will not compile, because class Dog must implement method doYourJob() from interface Guard.";"This code will not compile, because in the declaration of class Dog we must use the keyword extends instead of implements.";"This code will compile without any errors.";"D";"Given the following piece of code:

public interface Guard{
        void doYourJob();
}
abstract public class Dog implements Guard{ }

which of the following statements is correct?
";1
"To prevent developers from further extending the class.";"When it doesn't make sense to have objects of that class.";"When default implementations of some methods are not desirable.";"To force developers to extend the class not to use its capabilities.";"B";"In Java, declaring a class abstract is useful
";1
"Compile with error";"10";"12";"Runtime Exception";"A";"What will be the output for the below code ?

public interface TestInf{
      int i =10;
}

public class Test{
      public static void main(String... args){
            TestInf.i=12;
	    System.out.println(TestInf.i);
      }
}

";1
"1 and 2";"2 and 3";"3 and 4";"1 and 3";"C";"
interface Base{
      boolean m1 ();
      byte m2(short s);
}

which two code fragments will compile?
1. interface Base2 implements Base {}

2. abstract class Class2 extends Base
    { public boolean m1(){ return true; }}

3. abstract class Class2 implements Base {}

4. abstract class Class2 implements Base
    { public boolean m1(){ return (7 > 4); }}

5. abstract class Class2 implements Base
    { protected boolean m1(){ return (5 > 7) }}

";1
"Successful run and print 37";"Compilation error due to line 1";"Compilation error due to line 2";"Runtime error";"C";"What will happen after compiling this program code?

abstract class MyClass{ //line 1
      private int a, b;

      public void call(int a, int b){
            this.a = a;
            this.b = b;
            System.out.print(a+b);
      }
}

public class Test{
      public static void main(String args[]){
            MyClass m = new MyClass(); //line 2
            m.call(12,25);
      }
}

";1
"1 and 2";"2 and 4";"3 and 5";"3 and 6";"D";"Which two of the following are legal declarations for abstract classes and interfaces?
1. final abstract class Test {}
2. public static interface Test {}
3. final public class Test {}
4. protected abstract class Test {}
5. protected interface Test {}
6. abstract public class Test {}
";1
"1";"2";"3";"None of these";"D";"
interface Test{
      int p = 10; //line 1
      public int q = 20; //line 2
      public static int r = 30; //line 3
      public static final int s = 40; //line 4
}

Which of the above line will give compilation error?
";1
"class";"abstract class";"interface";"vaiable";"C";"Runnable is a _____ .
";1
"X extends Y"" is correct if and only if X is a class and Y is an interface";"X extends Y"" is correct if and only if X is an interface and Y is a class""";"X extends Y"" is correct if X and Y are either both classes or both interfaces""";"X extends Y"" is correct for all combinations of X and Y being classes and/or interfaces""";"C";"Which is true?
";1
"1 and 2";"2 and 4";"3 and 5";"3 and 4";"C";"Which of the following is true?
1. A class can extend more than one class.
2. A class can extend only one class but many interfaces.
3. An interface can extend many interfaces.
4. An interface can implement many interfaces.
5. A class can extend one class and implement many interfaces.
";1
"12";"23";"123";"321";"C";"What is the output of the following program code?

abstract class C1{
	public C1(){ 
		System.out.print(1); 
	} 
} 
class C2 extends C1{ 
	public C2(){ 
		System.out.print(2); 
	} 
} 
class C3 extends C2{ 
	public C3(){ 
		System.out.println(3); 
	} 
} 
public class Test{ 
	public static void main(String[] a){ 
		new C3(); 
	} 
}

";1
"Only (II)";"(I) and (II)";"(II) and (III)";"Only (I)";"C";"The concept of multiple inheritance is implemented in Java by
I.   Extending two or more classes.
II.  Extending one class and implementing one or more interfaces.
III. Implementing two or more interfaces.
";1
"Compilation Fails";"Prints 0";"Prints 10";"Prints 7";"A";"What will be the result of compiling and running the given code?

class A{
      int b=10;
      private A(){
            this.b=7;
      }
      int f(){
            return b;
      }
}
class B extends A{
      int b;
}
public class Test{
      public static void main(String[] args){
            A a = new B();
            System.out.println(a.f());
      }
}

";1
"30";"10";"40";"20";"C";"What will be printed after executing following program code?

class Base{
	int value = 0;
        Base(){
        	addValue();
        }
        void addValue(){
        	value += 10;
        }
        int getValue(){
        	return value;
        }
}
class Derived extends Base{
	Derived(){
		addValue();
	}
	void addValue(){
		value +=  20;
	}
}
public class Test{
	public static void main(String[] args){
		Base b = new Derived();
		System.out.println(b.getValue());
	}
}

";1
"15";"20";"30";"Compiler Error";"D";"What will be the output?

class One{
      final int a = 15;
}

class Two extends One{
      final int a = 20;
}

public class Test extends Two{
      final int a = 30;

      public static void main(String args[]){
            Test t = new One();
            System.out.print(t.a);
      }
}

";1
"A a = new B()";";A a = new B(5)";";A a = new A(String s)";";All of the above""";"A";"
class A{
      A(String s){}

      A(){}
}

1. class B extends A{
2.       B(){}
3.       B(String s){
4.             super(s);
5.       }
6.       void test(){
7.             // insert code here
8.       }
9. }

Which of the below code can be insert at line 7 to make clean compilation ?
";1
"Extending the thread class.";"Implementing Runnable interface.";"Both of the above";"None of these";"C";"In java a thread can be created by ..........
";1
"start()";"run()";"init()";"go()";"B";"When a class extends the Thread class ,it should override ............ method of Thread class to start that thread.
";1
"Thread(Runnable threadOb, int priority)";"Thread(int priority)";"Thread(Runnable threadOb, String threadName)";"Thread(String threadName, int priority)";"C";"Which of the following constructor of class Thread is valid one?
";1
"The program will not compile because it does not implement the run() method.";"The program will not compile because it does not contain abstract methods.";"The program compiles fine.";"None of the above";"C";"Analyze the following code:

public abstract class Test implements Runnable{
        public void doSomething() { };
}

";1
"0 0";"Compilation error, class A has no start method";"0 1";"Compilation succeed but runtime exception";"C";"What will be the output?

class A extends Thread{
      public void run(){
            for(int i=0; i<2; i++){
                  System.out.println(i);
            }
      }
}

public class Test{
      public static void main(String argv[]){
            Test t = new Test();
            t.check(new A(){});
      }
      public void check(A a){
            a.start();
      }
}

";1
"1 , 2 and 4";"1 and 3";"3 only";"None of the above";"A";"Which of the following are methods of the Thread class?
1) yield()
2) sleep(long msec)
3) go()
4) stop()
";1
"Wakes up one threads that are waiting on this object's monitor";"Wakes up all threads that are not waiting on this object's monitor";"Wakes up all threads that are waiting on this object's monitor";"None of the above";"C";"What notifyAll() method do?
";1
"The program does not compile because the start() method is not defined in the Test class.";" The program compiles, but it does not run because the start() method is not defined.";" The program compiles, but it does not run because the run() method is not implemented.";" The program compiles and runs fine.";"A";"Analyze the following code:

public class Test implements Runnable{
        public static void main(String[] args){
                Test t = new Test();
                t.start();
        }

        public void run() { }
}

";1
"0 0";"Compilation Error";"0 1 ";"None of these";"C";"What will be the output?

class One extends Thread{
	public void run(){
		for(int i=0; i<2; i++){
			System.out.print(i);
		}
	}
}

public class Test{
	public static void main(String args[]){
		Test t = new Test();
		t.call(new One());
	}
	
	public void call(One o){
		o.start();
	}
}

";1
"volatile";"synchronized";"native";"static";"B";"Which keyword when applied on a method indicates that only one thread should execute the method at a time.
";1
